Carrera,Hora,Premio,Distancia,Superficie,Numero,Caballo,Peso,Jinete,Preparador,Pozo
10,17:15,TIA WALDA,1200,PASTO,8,HONEY RAW,55,D. Alvarado,C. Raby V.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,9,MUJER DE ORO,55,R. Cisternas,J. Orellana R.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,10,KEIRA,55,V. Miranda,A. Padovani E.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
10,17:15,TIA WALDA,1200,PASTO,11,DOTTORESSA,55,J. Medina,P. Baeza A.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 2"
11,17:45,TOTAL FIRE,1000,PASTO,1,INDHIRA,54,M. Chamorro,R. Montesino S.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,2,FERLUISI,58,J. Medina,H. E. Ulloa P.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,3,EL PITIN,58,H. Ochoa,Cl. Bernal G.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,4,LA ABU,53,Seb. Gonzalez,Js. Araya B.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,5,SEÑOR AMANTE,52,N. Molina,Js. Araya B.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,6,LIMATOWN,61,L. Torres,A. Parra D.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,7,PALACETE,58,Jon. A. Castillo,A. Parra D.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,8,ARAKI,56,J. Toro,A. Padovani E.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,9,STRAY KIDS,58,A. Varas,A. Parra D.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
11,17:45,TOTAL FIRE,1000,PASTO,10,COKE SPIRIT,57,T. Seith,P. Lopez P.,"MEGA SPF / DOBLE / MEGATRIP N°3 ETP 3"
12,18:15,TAZ BOY,1400,ARENA,1,ANCELOTTI,54,N. Ramirez,M. Rabajille D.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,2,EL CASTI,57,R. S. Dores,D. Matte D.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,3,DOCTORA MILAGRO,58,B. Sancho,D. Matte D.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,4,CHOW CHOW,54,M. A. Donoso,Fco. Pinochet P.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,5,ODESSA,54,I. Valdivia,G. Aguirre A.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
12,18:15,TAZ BOY,1400,ARENA,6,CALIFORNIA KING,58,H. Ochoa,Js. Araya B.,"MEGATRIPLE N°4 $ 15.000.000 / MEGA SUPERFECTA $ 1.000.000"
